question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Thomson (2000), cited in the course material, an ethnic group is defined as a community of people who have the conviction that they have a common identity and common fate based on issues of origin, kinship ties, traditions, and:",A shared history and possibly a shared language,A shared bank account,Identical physical appearance in every respect,"A single, universally agreed political party",A,"Thomson (2000:58) defines an ethnic group as a community of people who have the conviction that they have a common identity and common fate based on issues of origin, kinship, ties, traditions, cultural uniqueness, a shared history and possibly a shared language.",1
"According to the course material's discussion of the role of business in conflict situations, a widening community of business actors around the world is moving to adopt a ""triple bottom line"" of profitability, and:",Social and environmental responsibilities,Only shareholder dividends,Only executive compensation,Only advertising expenditure,A,"Widening communities of business actors around the world are moving to adopt new approaches to corporate social responsibility, including a ""triple bottom line"" of profitability, social and environmental responsibilities.",1
"According to the course material, the two key propelling variables in the conflict (escalation) cycle are willingness and:",Opportunity,Ignorance,Silence,Isolation,A,"There are two key propelling variables in the conflict escalation cycle: opportunity (available resources such as money, people, arms) and willingness (the desire or need to act).",1
"According to the course material, the six stages of conflict, sourced from the Conflict Resolution Stakeholders' Network (CRESNET) Training Manual 2001, run from the Formation Stage through the Escalation and Crisis Stages, to De-escalation, Improvement, and finally:",The Transformation Stage,The Termination Stage only,The Retaliation Stage,The Amplification Stage,A,"The six stages of conflict are: Formation, Escalation, Crisis, De-escalation, Improvement, and Transformation - the last being the most difficult stage to attain in any conflict situation.",1
"According to the course material's second conflict cycle model (sourced from a Danida Conference background paper), the first phase of the conflict cycle, where a conflict is dormant and barely expressed, is called the:",Latent Phase,Manifest Phase,Violent Phase,Terminal Phase,A,"The first phase of the conflict cycle is the Latent Phase, where a conflict is dormant and barely expressed by the conflicting sides, who may not even be conscious of their conflicting interests.",1
"According to the course material, the two basic dimensions used to define the five conflict handling styles are Assertiveness and:",Cooperativeness,Aggressiveness,Popularity,Wealth,A,The two basic dimensions of behaviour used to define conflict handling styles are Assertiveness (satisfying one's own needs) and Cooperativeness (attempting to satisfy both one's own and the other person's needs).,1
"According to the course material, the conflict handling style in which a person is both assertive and cooperative, working to find a solution that fully satisfies the concerns of both parties, is called:",Collaborating,Avoiding,Dominating/Competing,Accommodating,A,"Collaborating is the style in which a person is both assertive and cooperative, working with the other party to find a solution that fully satisfies both sides' concerns, a true ""win-win"" outcome.",1
"According to the course material's second conflict handling model, the approach in which parties threaten, attack, yell, and insult while holding tenaciously to their point of view is called:",Confrontation/Fighting,Avoidance/Denial,Problem Solving,Collaboration,A,"Confrontation/Fighting is the approach in which people slog it out with the other party, threatening, attacking, yelling and insulting, often leading to violence and a lose/lose outcome.",1
"According to the course material's definition, a ""stakeholder"" in conflict analysis is defined as men and women, group, or parties who are directly or indirectly involved in the conflict and have:",A significant stake in the outcome,No connection whatsoever to the situation,Only a financial interest and no other kind of interest,"Exclusively a legal, not social, interest in the matter",A,"A stakeholder is defined as those men and women, group or parties who are directly or indirectly involved in the conflict and have a significant stake in the outcome.",1
"According to the course material, the three categories of stakeholders in conflict analysis are Primary Stakeholders, Secondary Stakeholders, and:",Interested Stakeholders,Fictional Stakeholders,Retired Stakeholders,Anonymous Stakeholders,A,"The three categories of stakeholders are Primary Stakeholders (direct investors in the conflict), Secondary Stakeholders (affected but not directly involved), and Interested Stakeholders (with an interest but no direct impact).",1
"According to the course material, the criteria for determining Primary Stakeholders include Functional, Representativity, and:",Moral Authority,Financial Capacity Only,Alphabetical Order,Geographic Proximity Only,A,"The three criteria for determining primary stakeholders are Functional (those who directly wage the conflict), Representativity (representing a large affected population), and Moral Authority (religious leaders, civil society).",1
"According to the course material's discussion of pre-intervention conflict analysis, the five elements an intervenor must gather include History of the Conflict, Context of Conflict, Primary Parties, Power Relations, and:",Issues (and Other Parties/Stakeholders),The exact market value of the disputed territory only,The population census figures of the region only,The colour scheme of the conflicting parties' flags,A,"The pre-intervention conflict analysis model includes gathering data on History of the Conflict, Context of Conflict, Primary Parties, Power Relations, Other Parties/Stakeholders, and Issues.",1
"According to the course material's conventions for mapping relationships between stakeholders, straight lines indicate direct relationships, double connecting lines indicate an alliance, and dotted lines indicate:","An informal, weak, or intermittent relationship",A permanently broken relationship with no possibility of repair,A relationship that has never existed at all,The strongest possible alliance between two parties,A,"In conflict mapping conventions, dotted lines indicate an informal, weak, or intermittent relationship between stakeholders, distinct from straight lines (direct relationship) and double lines (alliance).",1
"According to the course material, the ""ABC Triangle"" method of conflict analysis considers three elements: Attitude, Behaviour, and:",Context (Environment),Cost,Currency,Chronology,A,"The ABC Triangle analytical tool sees conflict as having three elements: Attitude (willingness to change, fixed position), Behaviour (agitation, demand, pleas, violence), and Context (the background/environment).",1
"According to International Alert (1996), cited in the course material, ""conflict transformation"" is conceptualised as a particular approach which aims to recognise the grievances, needs and issues of all parties, focusing on the processes by which conflict develops into violence rather than solely on:",How to bring a violent conflict quickly to a cease fire for settlement,How to identify the exact date the conflict will end,How to punish only one side of the conflict,How to eliminate all forms of communication between parties,A,"International Alert (1996) conceptualises conflict transformation as focusing on the processes by which conflict develops into violence, rather than exclusively on quickly bringing a violent conflict to a cease-fire for settlement.",1
"According to the course material, John Paul Lederach, a chief proponent of conflict transformation, distinguishes it from ""conflict resolution"" and ""conflict management"" by arguing that conflict transformation emphasises a broader and deeper understanding of the conflict, whereas ""conflict resolution"" implies that conflict is:","Destructive like fire, and therefore should be put out quickly",A permanently beneficial state that should never be addressed,"Something that can only occur between nations, never individuals",Entirely unrelated to human relationships,A,"Lederach argues conflict resolution suggests conflict is destructive like fire and should be put out quickly and decisively through mediation, while conflict transformation stresses the dialectic, ongoing nature of conflict.",1
"According to the course material, for Mahatma Gandhi, whose approach underpins one broad theory of non-violent conflict transformation, his famous quote is:","""There is no way to peace; peace is the way""","""War is the only path to lasting peace""","""Conflict must always be resolved through military force""","""Peace can only be achieved after total victory""",A,"For Gandhi, cited in the course material's discussion of non-violence theory, ""there is no way to peace; peace is the way; to be taken, now.""",1
"According to the course material, the five types of conflict transformation discussed are Issue Transformation, Rule Transformation, Structural Transformation, Actor Transformation, and:",Personal and Group Transformation,Financial Transformation,Territorial Transformation Only,Chronological Transformation,A,"The five types of transformation discussed in the course material's conceptual overview of conflict transformation are Issue, Rule, Structural, Actor, and Personal and Group Transformation.",1
"According to the course material, the Franco-German reconciliation after the Second World War is cited as a real-world example of:",Successful conflict transformation,A failed peace process with no lasting resolution,A purely military solution to conflict,An example of conflict suppression rather than resolution,A,"The Franco-German reconciliation after World War II is cited as an example of conflict transformation, where new mutually beneficial arrangements replaced formerly contested issues between the two nations.",1
