module,unit,unit_title,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,tier
2,2,Individual Differences in Intelligence,Deviation IQ scores represent:,an individual's performance relative to others of the same age,only the individual's raw test score,a fixed number that never changes,the individual's physical age,A,"Deviation IQ scores show performance relative to others of the same age, with the average set at 100.",standard
2,2,Individual Differences in Intelligence,"According to the unit, in a typical classroom, roughly what proportion of pupils are described as 'all-rounders'?",10%,20%,40%,70%,C,"The unit estimates roughly 40% of pupils in a typical classroom are all-rounders, equally good or bad at both intelligence and open-ended tests.",advanced
2,2,Individual Differences in Intelligence,"The most important element in all of education, according to the unit, is:",standardised testing,individual differences among people,strict discipline,uniform curricula,B,The unit states that individual differences are the most important element in all of education.,standard
2,2,Individual Differences in Intelligence,Which of the following best describes the weakness of simple mental-age-based IQ scores?,They cannot be calculated for children,"Scores appear to decrease as an individual reaches maturity, since chronological age keeps rising after mental development plateaus",They are too complicated to compute,They only apply to twins,B,Simple mental-age IQ scores decrease with age because mental development plateaus in the late teens/twenties while chronological age keeps rising.,advanced
2,2,Individual Differences in Intelligence,"Musical intelligence, spatial intelligence, and interpersonal intelligence are all examples of Gardner's concept of:","a single, unified form of intelligence",multiple forms of intelligence,physical rather than mental abilities,"obsolete, discredited ideas",B,"Gardner proposed intelligence comes in multiple distinct forms, including musical, spatial, and interpersonal intelligence.",standard
2,2,Individual Differences in Intelligence,"A secondary school that concentrates only on preparing all students for university entrance, regardless of ability, would be providing what kind of education according to the unit?",An ideal education for all pupils,A poor education for children of low IQ,An education focused on creativity,An education focused purely on vocational skills,B,The unit warns that pushing all students toward university entry regardless of ability provides a poor education for children of low IQ.,advanced
2,3,Behaviour: Genetic and Environmental Influences,The 'nature versus nurture' debate concerns whether behaviour is best explained by reference to:,genetic factors or environmental factors,age or gender,intelligence or personality,memory or perception,A,The nature-nurture debate concerns whether genetic or environmental factors best explain behaviour.,basic
2,3,Behaviour: Genetic and Environmental Influences,Most contemporary psychologists believe behaviour results from:,genetics alone,environment alone,an interaction between genetic factors and the environment,neither genetics nor environment,C,"Most psychologists now accept that behaviour results from an interaction between genetic and environmental factors, not either alone.",standard
2,3,Behaviour: Genetic and Environmental Influences,Identical twins are also known as:,dizygotic (DZ) twins,monozygotic (MZ) twins,fraternal twins,half-twins,B,"Identical twins, resulting from the splitting of one zygote, are called monozygotic (MZ) twins.",basic
2,3,Behaviour: Genetic and Environmental Influences,"Non-identical twins, resulting from two separate eggs fertilised by two separate sperm, are called:",monozygotic (MZ) twins,dizygotic (DZ) twins,conjoined twins,clone twins,B,"Non-identical twins, from two different eggs and sperm, are called dizygotic (DZ) twins.",basic
2,3,Behaviour: Genetic and Environmental Influences,Twin studies comparing identical and non-identical twins raised apart generally show that:,identical twins are no more similar than non-identical twins,"identical twins tend to be more similar than non-identical twins, even when raised apart",non-identical twins are always more similar,twins raised apart show no similarities at all,B,"Research shows identical twins tend to be more similar than non-identical twins, even when raised in different environments, suggesting genetic influence.",standard
2,3,Behaviour: Genetic and Environmental Influences,"According to the unit, if genetics were found to entirely determine criminality, what would be a likely, though troubling, implication?",Rehabilitation and punishment would be seen as pointless for genetically predisposed offenders,Crime rates would immediately fall to zero,All criminals would need less supervision,Criminal behaviour would disappear on its own,A,"If genetics entirely determined criminality, some might argue rehabilitation and punishment are futile against genetic predisposition, an implication the unit challenges.",advanced
2,3,Behaviour: Genetic and Environmental Influences,"Environment, as defined in the unit, refers to:",only the physical location a child grows up in,the aggregate of external and internal conditions affecting growth and welfare of the organism,only genetic inheritance,only a person's diet,B,"Environment is defined as the aggregate of all external and internal conditions affecting existence, growth, and welfare of an organism.",standard
2,3,Behaviour: Genetic and Environmental Influences,Dilalla and Gottesman (1990) reviewed decades of twin studies and found evidence suggesting that criminal behaviour might:,have absolutely no genetic component,"have some genetic component, alongside environmental influences",be caused entirely by parenting style,only occur in twins,B,"Dilalla and Gottesman's review found some evidence supporting a genetic component to criminal behaviour, alongside environmental factors.",advanced
2,3,Behaviour: Genetic and Environmental Influences,"Why might children born to criminal parents show an increased likelihood of criminal behaviour, according to the unit's discussion?","Only because of shared genetics, with no other explanation possible","Possibly due to genetics, but also possibly because criminal parents may instil different values or reward criminal behaviour in their children",Because all courts assume guilt by association,Because criminal behaviour is entirely random,B,"The unit notes that shared values, modelling and reinforcement patterns within the family may also explain this pattern, not just genetics alone.",advanced
2,3,Behaviour: Genetic and Environmental Influences,"A child's environment, according to the unit, begins:",only after birth,from within the mother's womb,only once schooling starts,only in adolescence,B,"The unit states a child's environment commences from within the mother's womb, e.g. effects of maternal smoking or illness during pregnancy.",standard
2,4,Applying Psychology to Policing,"According to Ainsworth (2001), psychology can assist policing in how many broad areas?",Two,Three,Four,Six,C,"Ainsworth identifies four broad areas: selection and training, operational policing, organisational/occupational issues, and crime prevention/community relations.",standard
2,4,Applying Psychology to Policing,A forensic psychologist engaged by a police force on a case-by-case basis to help develop an offender profile is best described as a:,in-house staff psychologist,psychological consultant,police recruit,court clerk,B,"A psychological consultant is engaged on a contractual, case-by-case basis rather than as a permanent employee.",basic
2,4,Applying Psychology to Policing,"An in-house (staff) psychologist, unlike a consultant, is:",never allowed inside a police station,"a permanent, salaried employee of the police organisation",only responsible for training recruits,paid only per case,B,"An in-house psychologist is a permanent, salaried employee, involved in a broad, ongoing range of activities.",basic
2,4,Applying Psychology to Policing,One advantage of an in-house psychologist over an external consultant is that the in-house psychologist:,charges less money automatically,develops an intimate understanding of the organisation's culture and recurring problems,never needs to follow an ethical code,cannot be dismissed,B,"Because the in-house psychologist works within the organisation continuously, they develop deep familiarity with its culture and problems.",standard
2,4,Applying Psychology to Policing,"A disadvantage of the in-house psychologist arrangement, according to the unit, is that:",they may find it harder to maintain independence since they are employed by the organisation,they know nothing about the organisation,they cannot conduct recruit screening,they must always agree with management,A,"Being an employee of the organisation can make it harder for an in-house psychologist to maintain full independence, especially with unwelcome findings.",advanced
2,4,Applying Psychology to Policing,Which of the following is an example of psychology applied to 'selection and training' in policing?,Interviewing a witness about a crime,Using psychological tests to assess candidate suitability for recruitment,Comforting a victim of crime,Testifying in court,B,Selection and training involves using psychological assessment tools to identify suitable candidates and improve training methods.,standard
2,4,Applying Psychology to Policing,"According to the unit, which of these is a common psychological demand shared across almost all policing roles?",Managing one's own emotions under provocation,Only physical fitness,Knowledge of forensic chemistry,Ability to play a musical instrument,A,Emotional self-management under provocation is described as a demand common to nearly all policing roles.,standard
2,4,Applying Psychology to Policing,"Occupational and organisational issues in policing, as discussed in the unit, include:","stress, burnout, motivation, leadership, and teamwork",only uniform design,only vehicle maintenance,only recruitment advertising,A,"Organisational/occupational issues include understanding stress, burnout, motivation, leadership, and teamwork within the force.",standard
2,4,Applying Psychology to Policing,Both psychological consultants and in-house psychologists are bound by:,no rules at all,"the ethical codes of their profession, requiring honesty and objectivity",only the instructions of the police commander,whichever rules the client prefers,B,"Both types of psychologist are bound by professional ethical codes requiring honesty and objectivity, regardless of who pays them.",standard
2,5,Perception: A Basic Process,Perception is best defined as the process of:,physically detecting stimuli through sense organs only,"selecting, organising, and interpreting sensory information to make sense of the world",memorising facts for an exam,physically moving toward a stimulus,B,"Perception involves selecting, organising, and interpreting sensory information into a meaningful picture of reality.",basic
2,5,Perception: A Basic Process,"Sensation, as distinguished from perception, refers to:",the psychological interpretation of stimuli,the physiological detection of stimuli by sense organs and conversion into neural signals,only visual experiences,a person's mood,B,Sensation is the physiological process by which sense organs detect stimuli and convert them into neural signals.,standard
2,5,Perception: A Basic Process,The Gestalt principle where we organise perception into a central object of interest and a background is called:,closure,figure-ground,proximity,continuity,B,Figure-ground organisation separates perception into a figure (object of interest) and a ground (background).,basic
2,5,Perception: A Basic Process,The Gestalt principle of 'closure' refers to the tendency to:,group objects close together in space,fill in gaps in incomplete information to perceive a complete object,perceive similar objects as belonging together,perceive lines as continuing in their original direction,B,"Closure describes our tendency to fill in missing information so as to perceive a complete, whole object.",standard
2,5,Perception: A Basic Process,Which Gestalt principle explains why two strangers standing close together at a crime scene might be assumed to be associated?,Similarity,Continuity,Proximity,Figure-ground,C,Proximity is the principle that objects close together in space tend to be perceived as belonging together.,standard
2,5,Perception: A Basic Process,'Perceptual set' refers to the influence of which factor on perception?,Past experience only,"Expectation, causing us to perceive what we expect to perceive",Culture only,Physical fatigue only,B,"Perceptual set describes how expectation shapes what we perceive, sometimes leading us to see what we expect rather than what is actually there.",standard
2,5,Perception: A Basic Process,'Weapon focus' refers to the phenomenon where:,"a victim's attention narrows onto a weapon, causing other details like the perpetrator's face to be missed",weapons are always perceived accurately,witnesses focus equally on all details during a crime,fear improves memory for all details,A,"Weapon focus describes how a victim's attention can fixate on a weapon under stress, at the expense of noticing other details.",advanced
2,5,Perception: A Basic Process,Why is an understanding of perception particularly important for eyewitness testimony in policing?,"Because perception is a purely mechanical, always-accurate process","Because perception is a constructive process and therefore prone to error, which affects the reliability of eyewitness accounts",Because witnesses never make mistakes,Because eyewitness testimony is never used in court,B,"Since perception actively constructs experience rather than mechanically recording it, eyewitness accounts based on perception can be inaccurate.",advanced
2,5,Perception: A Basic Process,"Which of the following factors, according to the unit, can influence perception?","Past experience, expectation, motivation, emotional state, and culture",Only eye colour,Only the time of day,Only a person's height,A,"The unit lists past experience, expectation (perceptual set), motivation, emotional state, and culture as key factors influencing perception.",standard
2,5,Perception: A Basic Process,The Gestalt tradition emerged in which country in the early twentieth century?,France,Germany,United States,Nigeria,B,Gestalt psychology emerged in Germany in the early twentieth century.,basic
2,5,Perception: A Basic Process,The Gestalt principle of 'similarity' suggests that:,"objects resembling each other in colour, shape or size tend to be perceived as belonging together",only objects that are physically touching are grouped together,dissimilar objects are always grouped together,similarity has no effect on perception,A,"Similarity states that objects resembling one another in colour, shape, or size tend to be perceived as a related group.",standard
2,1,Definitions of Intelligence,Which of these is a criticism the unit raises about early biased intelligence testing?,Tests were too easy for everyone,"Some early tests were biased in favour of one group and against another, producing misleading statistically significant differences",Tests never produced any usable results,Tests could only be given to adults,B,"The unit notes that some early IQ research comparing groups used tests biased in favour of one group, producing misleading results.",advanced
2,1,Definitions of Intelligence,"According to Wechsler (1958), a person acting intelligently is one who:",never makes mistakes,"learns from past experience, seeks effective solutions, and adapts to their environment",scores above 130 on every test,avoids all challenges,B,"Wechsler's broad definition includes learning from experience, effective problem-solving, and adaptation to the environment.",standard
2,2,Individual Differences in Intelligence,"A 'diverger', as opposed to a converger, performs better on:",intelligence tests,open-ended tests,neither type of test,memory tests only,B,"A diverger performs better on open-ended tests than on structured intelligence tests, the reverse of a converger.",standard
2,2,Individual Differences in Intelligence,The unit argues that saying 'all persons are created equal' is best understood as:,a scientific fact about human nature,"a statement of human rights under the law, not a claim about actual human sameness",proof that IQ tests are meaningless,evidence that individual differences do not exist,B,"The unit clarifies that equality under the law is a rights statement, not a claim that people do not differ in ability or characteristics.",advanced
2,3,Behaviour: Genetic and Environmental Influences,Which statement best reflects the modern psychological consensus on nature versus nurture?,Genetics alone determines all behaviour,Environment alone determines all behaviour,Behaviour results from an interaction between genetic and environmental factors,Neither genetics nor environment plays any role,C,"The modern consensus, as discussed in the unit, is that behaviour results from an interaction between genetic and environmental influences.",standard
2,3,Behaviour: Genetic and Environmental Influences,Why are studies of twins separated early in life considered especially valuable to researchers?,They allow researchers to see if genetically similar people raised in different environments still show similar traits,They are the only twins available for study,They eliminate the need for any other research method,They prove environment has no effect on behaviour,A,Twins separated early in life let researchers examine whether genetic similarity persists in shaping traits despite different environments.,advanced
2,4,Applying Psychology to Policing,"Crime prevention and community relations, as one of the four broad areas psychology assists policing, primarily involves:",designing police uniforms,understanding why people offend and how communities can be engaged to prevent crime,only investigating cold cases,training police dogs,B,This area involves understanding offending behaviour and engaging communities to build confidence and prevent crime.,standard
2,4,Applying Psychology to Policing,Why might the psychological demands on an officer patrolling a busy market differ from those on an officer investigating fraud?,"Because policing contexts vary, even though certain core psychological demands, like emotional regulation, remain common across roles",Because psychology has no relevance to either role,Because fraud investigation requires no psychological skill at all,Because patrol officers never interact with the public,A,"While specific demands vary by context, certain core psychological demands, such as managing one's own emotions, are common across almost all policing roles.",advanced
2,5,Perception: A Basic Process,The Gestalt principle of 'continuity' explains our tendency to:,"perceive lines and patterns as continuing in the direction they were travelling, rather than changing abruptly",group objects by colour only,perceive incomplete objects as complete,separate a figure from its background,A,"Continuity is the tendency to perceive continuing patterns or trajectories, such as tracking a vehicle briefly hidden from view.",standard
2,5,Perception: A Basic Process,"Which of the following best illustrates the effect of emotional state on perception, as discussed in the unit?",A person calmly reading a newspaper notices background music,"A frightened victim's attention narrows onto a weapon, missing other details",A person notices unrelated advertisements while shopping,A tired person falls asleep during a lecture,B,"This illustrates 'weapon focus', where strong emotion, especially fear, narrows perception onto a threatening stimulus.",standard
