module,unit,unit_title,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,tier
1,2,Approaches to Psychology,Which statistical technique for examining whether two variables are related was devised by Francis Galton?,Regression,Correlation,Factor analysis,Standard deviation,B,Francis Galton devised the technique of correlation to examine relationships between variables.,standard
1,2,Approaches to Psychology,"A questionnaire that gives fixed answer choices, easy to score and analyse statistically, is called a:",structured questionnaire,unstructured questionnaire,naturalistic questionnaire,correlational questionnaire,A,"A structured questionnaire has fixed alternative answers, is easy to administer and score.",standard
1,2,Approaches to Psychology,Which research method involves observing subjects in their natural environment without interference?,Case study,Naturalistic observation,Experimentation,Survey,B,Naturalistic observation involves observing subjects in their natural setting without interfering.,basic
1,2,Approaches to Psychology,Who is credited as probably the first person to introduce case history as a method of scientific investigation?,B.F. Skinner,Sigmund Freud,Francis Galton,Stanley Hall,B,Sigmund Freud is credited with pioneering the case history or case study method.,standard
1,2,Approaches to Psychology,Which of the following is a major disadvantage of the experimental method?,It cannot identify cause and effect,Findings often have limited application due to small sample sizes,It is entirely unsystematic,It cannot be replicated,B,"Experiments are precise and identify cause-effect relationships, but findings are often limited because of small samples.",standard
1,2,Approaches to Psychology,Stanley Hall is credited as the first psychologist to use which method in child study?,Case study,Questionnaire,Correlational study,Naturalistic observation,B,Medinnus and Johnson credited Stanley Hall as the first psychologist to use questionnaires in child study.,standard
1,3,Some Basic Concepts in Psychology,Learning is best described as:,"a random, uncontrollable event",a relatively lasting change in behaviour caused by experience,a purely physical growth process,identical to maturation,B,Learning is generally defined as a relatively lasting or permanent change in behaviour or performance caused by experience.,basic
1,3,Some Basic Concepts in Psychology,Maturation refers to:,the process of ripening and unfolding of an organism's potentials,acquiring new information through study,a change caused purely by practice,social conditioning by parents,A,Maturation is a process of ripening and the fuller unfolding of the organism's potentials.,basic
1,3,Some Basic Concepts in Psychology,Which statement best captures the relationship between maturation and learning?,Learning must occur before maturation can take place,Maturation must take place before certain learning can occur,They are entirely unrelated processes,Maturation only applies to animals,B,"Maturation must occur before certain learning, such as walking, can take effect, regardless of training.",standard
1,3,Some Basic Concepts in Psychology,"Growth, in the psychological sense, primarily refers to:",change in structure and function,"becoming larger or heavier, in height and weight",acquiring moral values,the formation of personality traits,B,"Growth refers to an organism becoming larger or heavier, measured in height and weight.",basic
1,3,Some Basic Concepts in Psychology,"Development, as distinct from growth, refers to:",only physical increases in size,"changes in structure and function, and progress toward maturity","a fixed, unchanging state",a purely genetic process,B,Development includes growth plus changes in structure and function; it is progress toward maturity.,standard
1,3,Some Basic Concepts in Psychology,"According to the principles of growth and development, all fetuses:",turn their hands before their heads,turn their heads before their hands,develop identically regardless of order,skip developmental stages randomly,B,"Development is orderly; for example, all fetuses turn their heads before they turn their hands.",standard
1,3,Some Basic Concepts in Psychology,Which principle of growth and development states that certain organs have periods during which interference causes permanent damage?,The principle of continuity,The principle of critical periods,The principle of orderliness,The principle of individual differences,B,"Certain organs such as the heart, kidneys, and eyes have critical periods; interference during these periods causes permanent effects.",standard
1,3,Some Basic Concepts in Psychology,"According to the unit, an individual's basic personality is largely set:",in old age,during the first years of life,only after marriage,at the point of physical maturity,B,The basic personality of an individual is set during the first years of life.,basic
1,3,Some Basic Concepts in Psychology,Kohler's studies of apes solving problems by combining sticks or boxes illustrate the concept of:,punishment,insight learning,classical conditioning,social loafing,B,"Kohler's ape studies demonstrated insight, a sudden perceptual reorganisation leading to problem solution.",standard
1,3,Some Basic Concepts in Psychology,Which of the following is TRUE about growth and development according to the unit?,They proceed in a completely random order for each child,"They are continuous but may involve spurts rather than smooth, gradual change",They stop entirely after adolescence,They are unrelated to critical periods,B,"Growth is continuous but not always smooth; there are spurts, e.g., in vocabulary or physical growth.",standard
1,4,Specialties in Psychology,"Which specialty of psychology focuses on physical, emotional and intellectual changes from the prenatal stage onward?",Clinical psychology,Developmental psychology,Forensic psychology,Occupational health psychology,B,"Developmental psychology studies physical, emotional and intellectual development from the prenatal stage onward.",basic
1,4,Specialties in Psychology,An educational psychologist is primarily concerned with:,treating serious mental illness,factors influencing the quality and quantity of learning in children and adults,brain chemistry alone,cardiac function,B,Educational psychology studies factors influencing the quality and quantity of learning.,basic
1,4,Specialties in Psychology,Social psychology is best described as the study of:,the biological basis of behaviour,social institutions and their impact on individual behaviour,intelligence testing,forensic evidence,B,"Social psychology studies social institutions, such as family and community, and their impact on individuals.",basic
1,4,Specialties in Psychology,A clinical psychologist specialises in:,crime scene investigation,treatment of behavioural problems and mental illness,political behaviour,cardiac structure,B,Clinical psychologists specialise in the treatment of people with behavioural problems and mental illness.,basic
1,4,Specialties in Psychology,Which branch of psychology is most directly concerned with the application of psychology to crime and the legal system?,Occupational health psychology,Forensic psychology,Cardiac psychology,Feminist psychology,B,"Forensic psychology is the branch most concerned with crime and the legal system, most relevant to this course.",basic
1,4,Specialties in Psychology,Occupational health psychology is primarily concerned with:,"the work environment, the individual, and work-family interface",child custody decisions,the psychology of political behaviour,unconscious conflict,A,"Occupational health psychology focuses on work environment, the individual, and the work-family interface.",standard
1,4,Specialties in Psychology,"Which specialty deals with control of behaviour among groups and the study of organisations of people in conflict, particularly relating to partisan actors?",Psychology of politics,Cardiac psychology,Disability and health psychology,Community psychology,A,"Psychology of politics deals with control of behaviour among groups, organisations, and political conflict.",standard
1,4,Specialties in Psychology,Community psychology mainly focuses on:,"family-care programmes, child guidance, and rehabilitation centres",cardiac structure and function,stock market behaviour,test construction,A,Community psychology's main thrust is family-care programmes and child guidance or rehabilitation.,standard
1,4,Specialties in Psychology,Gerard Achenbach is credited with reviving which branch of applied psychology in 1981?,Forensic psychology,Philosophical counselling,Cardiac psychology,Feminist psychology,B,Achenbach founded a suicide-prevention organisation and is believed to have revived philosophical counselling in 1981.,standard
1,4,Specialties in Psychology,"Which specialty is described in the unit as of most direct interest to students of this course, CSS 121?",Cardiac psychology,Forensic psychology,Feminist psychology,Philosophical counselling,B,"Forensic psychology, applying psychology to crime and the legal system, is highlighted as most relevant to this course.",standard
1,5,How Psychologists Develop and Test Their Theories,"The first step in the scientific method, as described in the unit, is:",formulation of hypotheses,awareness of the problem,verification of hypotheses,collection of data,B,The scientific method begins with awareness that a problem exists.,basic
1,5,How Psychologists Develop and Test Their Theories,"Which step involves narrowing down a broad, diffuse problem into a specific, defined question?",Collection of data,Location and definition of the problem,Testing hypotheses,Verification,B,"After awareness, the problem must be located and defined precisely.",basic
1,5,How Psychologists Develop and Test Their Theories,Educated guesses or tentative answers to a research problem are called:,data,hypotheses,correlations,samples,B,"Hypotheses are tentative, educated guesses formulated on the basis of collected data.",basic
1,5,How Psychologists Develop and Test Their Theories,"If a psychologist reports results significant at the 0.05 level, this means:",the results are certainly false,there is less than a 1-in-20 chance the results are due to chance,there is a 1-in-2 chance the results are due to chance,the sample size was too small,B,Significance at 0.05 means the probability the difference is due to chance is less than one in twenty.,standard
1,5,How Psychologists Develop and Test Their Theories,Results significant at the 0.01 level indicate the probability of the result being due to chance is:,1 in 10,1 in 20,1 in 100,1 in 1000,C,Significance at the 0.01 level means the probability of the result being due to chance is one in one hundred.,standard
1,5,How Psychologists Develop and Test Their Theories,Why is it inappropriate for a psychologist to test only one male and one female subject when comparing groups?,It takes too much time,"Differences found could simply reflect individual variation, not a true group difference",It is against the law,Single subjects cannot be surveyed,B,"With only one subject per group, any difference found could be due to that individual, not a genuine group difference.",standard
1,5,How Psychologists Develop and Test Their Theories,A random sample is used by researchers primarily to:,save money,avoid bias in the selection of participants,make the study take longer,ensure all participants are the same age,B,"Random sampling avoids the accusation that participants were selected to prove the researcher's theory, reducing bias.",standard
1,5,How Psychologists Develop and Test Their Theories,"According to the unit, statistical significance means:",the theory has been proven with complete certainty,"the finding is unlikely to be due to chance, but does not prove the theory absolutely true",the results are automatically generalisable to everyone,the sample was definitely biased,B,"A statistically significant finding shows the result is unlikely due to chance, but this does not equate to absolute proof of the theory.",advanced
1,5,How Psychologists Develop and Test Their Theories,"In the scientific method, verification of hypotheses involves:","selecting a suitable, safe method to confirm whether the accepted hypothesis actually works",ignoring all previous data,skipping directly to conclusions,discarding all hypotheses,A,Verification means testing the workability of the accepted hypothesis using an appropriate method.,standard
1,5,How Psychologists Develop and Test Their Theories,"Which of these is an advantage of using the scientific method in psychological research, according to the unit?",It allows other researchers to replicate the study,It guarantees the researcher's theory is correct,It removes the need for data collection,It works only for laboratory settings,A,One advantage listed is that other researchers can see how the study was conducted and replicate it.,standard
1,1,The Concept of Psychology,"A layperson's misconceptions about psychology often arise partly because human behaviour, unlike atomic particles, can be:",observed and explained by anyone using intuition or belief,measured only with a microscope,completely random and unexplainable,identical across all cultures,A,"Unlike phenomena in physics or chemistry, human behaviour is something everyone observes daily, leading to common-sense explanations that are not always scientifically accurate.",standard
1,1,The Concept of Psychology,Which of the following best explains why psychology's technical terms (e.g. 'intelligence') can confuse laypeople?,The terms have no real meaning,The same words are used in daily life but mean something more precise and restricted in psychology,Psychologists deliberately use confusing language,Psychology borrows all its terms from physics,B,"Words like 'intelligence' are used loosely in everyday language but have a specific, technical meaning within psychology.",advanced
1,1,The Concept of Psychology,Dennis Child (1977) defined behaviour as including which of the following?,Only actions that can be directly observed by others,Both observable activity and personal experience expressed through feelings and thoughts,Only unconscious drives,Only behaviour occurring in a laboratory,B,Child's definition of behaviour includes observable aspects of human activity as well as personal experience expressed via feelings and thoughts.,advanced
1,1,The Concept of Psychology,"According to the unit, psychology's relationship with philosophy is that:",the two disciplines are entirely unrelated,psychology cannot fully explain human behaviour without some philosophical assumptions about human nature,philosophy has been replaced entirely by psychology,psychology rejects all philosophical ideas,B,Iwuji (1981) states that psychology cannot explain human behaviour without some philosophical assumptions about human nature.,advanced
1,2,Approaches to Psychology,A behaviourist advising a teacher about a disruptive pupil would most likely recommend:,medicating the child immediately,ignoring the disruptive behaviour and reinforcing good behaviour instead,psychoanalysing the child's unconscious mind,testing the child's IQ before doing anything else,B,Behaviourists focus on environmental reinforcement; withdrawing attention from disruptive behaviour while reinforcing good behaviour is a classic behaviourist strategy.,standard
1,2,Approaches to Psychology,Which approach to psychology has gained particular influence over the last several decades due to advances in understanding thinking and information processing?,Psychodynamic approach,Cognitive approach,Behaviourist approach,Biological approach only,B,The unit notes that the cognitive approach has gained influence over the last thirty years as understanding of thinking processes advanced.,standard
1,2,Approaches to Psychology,"Humanism, as an approach to psychology, is primarily concerned with:",brain chemistry,the individual and their unique qualities,reinforcement schedules,group behaviour in crowds,B,"Humanism is concerned with the individual person and their unique qualities, distinct from the other four main approaches.",standard
1,2,Approaches to Psychology,One of the four stated objectives of psychology is to apply knowledge in order to:,promote human welfare,eliminate all individual differences,replace philosophy entirely,avoid the use of the scientific method,A,"One of psychology's objectives, per Zimbardo, is applying gained knowledge to promote human welfare.",standard
1,3,Some Basic Concepts in Psychology,Bugelski (1956) described learning as involving the formation of:,relatively permanent neural circuits through simultaneous activity of circuit elements,random electrical impulses with no lasting effect,"purely conscious, deliberate memorisation only",physical muscle growth alone,A,Bugelski defined learning as the process of forming relatively permanent neural circuits through simultaneous activation of circuit elements.,advanced
1,3,Some Basic Concepts in Psychology,Gagne's (1970) definition of a learning event centres on:,a change in performance from before to after exposure to a stimulus situation,the size of the brain,a fixed genetic blueprint,the age of the learner alone,A,Gagne defined a learning event as one where a stimulus situation changes performance from a time before to a time after the exposure.,advanced
1,3,Some Basic Concepts in Psychology,"According to the unit, training sessions aimed at making babies walk earlier than normal typically:",succeed easily regardless of maturation,"produce no significant results compared to no training, because maturation has not yet occurred",cause permanent physical harm,only work in developed countries,B,Experiments show that training sessions to speed up walking yield no significant results if the muscles have not yet matured.,standard
1,3,Some Basic Concepts in Psychology,"Which example best illustrates a 'critical period' in development, as discussed in the unit?",A child learning a new language at any age with equal ease,Damage to the eyes during a sensitive developmental period causing permanent visual problems,A teenager choosing a hobby,An adult changing their career path,B,"Certain organs, like the eyes, have critical periods; damage during that time causes permanent, not temporary, effects.",standard
1,4,Specialties in Psychology,"Cardiac psychology, as described in the unit, studies the workings of the heart in relation to:","emotions, especially love, and conscious thoughts of patients",forensic evidence collection,voting behaviour,classroom management,A,"Cardiac psychology studies the heart as related to emotions, especially love, and the conscious thoughts and feelings of patients.",standard
1,4,Specialties in Psychology,"Feminist psychology, as described in the unit, focuses on integrating which values across the field of psychology?","Empowering individuals, valuing diversity, and creating dialogue",Only clinical treatment techniques,Strict behaviourist reinforcement schedules,Cardiac health monitoring,A,"Feminist psychology is about integrating feminist tenets such as empowering individuals, valuing diversity, and creating dialogue across psychology.",standard
1,4,Specialties in Psychology,Which of the following best describes disability and health psychology?,"The study of the interplay between psychological health and medical conditions, including disability-specific factors",The study of political campaigns,The study of infant reflexes only,The study of criminal profiling exclusively,A,"This specialty studies the interplay between psychological health and medical conditions, including factors like age of onset and duration of disability.",standard
1,4,Specialties in Psychology,"In the unit's discussion of psychology and law, effectiveness of psychological services for law enforcement depends heavily on:",the degree to which police managers accept that understanding human behaviour can further law enforcement goals,the number of psychologists hired,eliminating all psychological consultants,ignoring officer training entirely,A,The unit states that whether psychological services can be effective depends on police management's acceptance of psychology's value to law enforcement goals.,advanced
1,5,How Psychologists Develop and Test Their Theories,"Which of the following best illustrates the step of 'collection of data' in the scientific method, using the unit's fear example?",Deciding immediately that the object causing fear is dangerous,"Observing whether the feared object is big or small, mobile or still, and whether it makes any sound",Publishing the research findings,Selecting a random sample of participants,B,"Collection of data involves close observation of the localized problem, such as the size, mobility, and sound of the feared object.",standard
1,5,How Psychologists Develop and Test Their Theories,"In practice, according to the unit, a psychologist applying the scientific method:",always completes each step once and never revisits an earlier one,may shuttle back to reformulate hypotheses or redefine the problem if initial hypotheses fail,skips hypothesis testing entirely,"only works with humans, never animals",B,"The unit notes that a psychologist may go back to formulate new hypotheses or redefine the problem if earlier hypotheses do not work, even though the final report shows a logical sequence.",advanced
1,5,How Psychologists Develop and Test Their Theories,"Why might a sexist psychologist's claimed research findings about gender and intelligence be invalid, according to the unit's discussion?",Because gender differences in intelligence are impossible to study,Because the researcher may have selected non-representative samples that bias the result toward a pre-existing belief,Because psychology cannot study intelligence at all,Because only qualitative methods are valid,B,"The unit explains that biased sample selection, such as picking less intelligent women and more intelligent men, can produce results that reflect selection bias, not a true gender difference.",advanced
1,5,How Psychologists Develop and Test Their Theories,The unit's memory experiment example (comparing male and female police officers' recall of a videotaped crime) illustrates the importance of using:,a single case study only,"a reasonably sized, representative, and randomly selected sample",no comparison group at all,only self-report measures,B,"The example illustrates why good research needs a reasonably sized sample that is representative and, ideally, randomly selected to avoid bias.",standard
