module,unit,unit_title,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,tier
3,2,Factors in Person Perception,"According to the unit, a serious danger of stereotyping in policing is that it can:",improve accuracy of every judgment made,"lead officers away from actual evidence toward a predetermined, possibly incorrect conclusion",eliminate all bias from decision-making,"only affect civilians, never officers",B,Stereotyping can lead officers toward predetermined conclusions rather than following the actual evidence in front of them.,advanced
3,2,Factors in Person Perception,The presence of other people during a policing encounter is an example of which category of factor influencing perception?,Perceiver characteristic,Situational characteristic,Genetic characteristic,Historical characteristic,B,The presence of others is a situational factor that can affect how a suspect or witness behaves and is perceived.,standard
3,2,Factors in Person Perception,"Manner of speech, including accent and vocabulary, is an example of a characteristic of:",the perceiver,the situation,the person being perceived,none of the above,C,"Manner of speech is a characteristic of the person being perceived, which shapes the impression formed of them, sometimes unfairly.",standard
3,2,Factors in Person Perception,The power imbalance between a uniformed officer and a member of the public is described in the unit as an example of:,a perceiver characteristic only,a situational factor that can distort both parties' perceptions of an interaction,an irrelevant detail,a purely legal issue with no psychological relevance,B,This power imbalance is a situational factor that can distort how both the officer and the member of the public perceive the interaction.,advanced
3,3,Personality Trait Inferences,A personality trait is best defined as:,a directly observable physical feature,"a relatively stable, enduring characteristic that predisposes a person to behave in a particular way across situations","a random, one-time action",a legal classification of behaviour,B,"A trait is a stable, enduring characteristic inferred from behaviour patterns, predisposing consistent behaviour across situations.",basic
3,3,Personality Trait Inferences,Traits are best described as being:,"directly observed, like height or hair colour",inferred from a pattern of observed behaviour over time,completely unrelated to behaviour,only relevant to criminals,B,"Unlike physical features, traits are inferred from consistent behaviour patterns, not directly observed.",standard
3,3,Personality Trait Inferences,'Implicit personality theory' refers to:,a formally published scientific theory,"everyday, informal beliefs about which personality traits tend to go together",a technique used only by clinical psychologists,a theory that has been scientifically disproven,B,"Implicit personality theory describes the informal, everyday beliefs people hold about which traits cluster together, such as assuming intelligent people are also hardworking.",standard
3,3,Personality Trait Inferences,The Big Five model of personality is sometimes remembered using which acronym?,OCEAN,CRIME,STUDY,STAR,A,"OCEAN stands for Openness, Conscientiousness, Extraversion, Agreeableness, and Neuroticism.",basic
3,3,Personality Trait Inferences,"In the Big Five model, 'Conscientiousness' refers to the degree to which a person is:",sociable and energetic,"organised, dependable, and self-disciplined",curious and open to new ideas,prone to anxiety and moodiness,B,"Conscientiousness describes being organised, dependable, and self-disciplined, as opposed to careless and disorganised.",standard
3,3,Personality Trait Inferences,"In the Big Five model, 'Neuroticism' describes the degree to which a person is:",cooperative and trusting,"prone to anxiety, moodiness, and emotional instability",imaginative and curious,assertive and sociable,B,"Neuroticism describes proneness to anxiety, moodiness, and emotional instability, as opposed to calm and even-tempered.",standard
3,3,Personality Trait Inferences,Which principle of trait inference states that we place greater weight on behaviour repeated across time and situations than on a single isolated act?,Social desirability,Distinctiveness,Consistency,Extraversion,C,Consistency describes how repeated behaviour across time and situations provides a stronger basis for trait inference than one isolated act.,standard
3,3,Personality Trait Inferences,"'Distinctiveness', as a principle of trait inference, considers:",whether a behaviour occurs only in one situation or across many varied situations,a person's exact age,a person's height and weight,the colour of a person's clothing,A,Distinctiveness examines whether behaviour occurs across many varied situations (more informative of a stable trait) or only in one specific context.,advanced
3,3,Personality Trait Inferences,Why is behaviour that goes against social expectation often considered a strong basis for trait inference?,Because such behaviour is always illegal,Because the person has little external incentive to behave that way unless it genuinely reflects their character,Because socially expected behaviour is always dishonest,Because unexpected behaviour is always a lie,B,"When a person behaves in a socially undesirable way with no incentive to do so, this is considered strong evidence of a genuine underlying trait.",advanced
3,3,Personality Trait Inferences,"If a police recruit is honest even in a low-stakes situation where dishonesty would go undetected and be advantageous, this is considered a particularly strong basis for inferring:",dishonesty,"the trait of honesty, since there was little external incentive to behave honestly",extraversion,neuroticism,B,"Honest behaviour with no incentive to be honest is a particularly strong, reliable basis for inferring the trait of honesty.",advanced
3,4,Attributing Causes to Behaviour,"Attribution, as a psychological concept, refers to the process by which we:","assign causes to behaviour, our own and that of others",memorise facts about a person,avoid ever explaining anyone's behaviour,only judge behaviour based on appearance,A,"Attribution is the process of assigning causes to observed behaviour, whether our own or someone else's.",basic
3,4,Attributing Causes to Behaviour,"Heider (1958), often regarded as the father of attribution theory, described ordinary people as behaving like:",robots with no reasoning ability,"naive scientists, constantly seeking to explain behaviour they observe",judges in a court of law,artists creating fiction,B,Heider described people as 'naive scientists' who constantly try to explain the behaviour they observe to make the world more predictable.,standard
3,4,Attributing Causes to Behaviour,A dispositional attribution explains behaviour by reference to:,external circumstances only,"internal characteristics of the person, such as personality or character",random chance,the weather,B,"A dispositional attribution explains behaviour by pointing to internal traits like personality, attitudes, or character.",basic
3,4,Attributing Causes to Behaviour,A situational attribution explains behaviour by reference to:,the person's inherited genetics only,external factors in the person's environment or circumstances,the person's name,nothing at all,B,"A situational attribution points to external, environmental, or circumstantial factors rather than internal character.",basic
3,4,Attributing Causes to Behaviour,"The 'fundamental attribution error', as described by Ross (1977), refers to the tendency to:",overestimate situational causes and underestimate dispositional causes when judging others,overestimate dispositional causes and underestimate situational causes when judging others' behaviour,never make any attribution at all,attribute all behaviour to luck,B,The fundamental attribution error is the tendency to over-emphasise dispositional (character) explanations and under-emphasise situational explanations for others' behaviour.,standard
3,4,Attributing Causes to Behaviour,The 'actor-observer difference' describes the tendency to:,"attribute our own behaviour to situational factors, but the same behaviour in others to dispositional factors",always blame ourselves more harshly than others,have no difference in how we judge ourselves versus others,judge only actors in films differently from real people,A,The actor-observer difference is the tendency to explain our own behaviour situationally while explaining others' identical behaviour dispositionally.,standard
3,4,Attributing Causes to Behaviour,"Why might we explain our own lateness by referring to traffic, but a colleague's lateness by calling them 'unpunctual'?",Because we always lie about our own behaviour,"This illustrates the actor-observer difference, since we have more awareness of our own situational pressures",Because lateness is always intentional,Because traffic never actually causes lateness,B,This is a classic illustration of the actor-observer difference: greater awareness of our own circumstances leads to situational attributions for ourselves.,advanced
3,4,Attributing Causes to Behaviour,"According to the unit, why does the fundamental attribution error matter for juries and investigating officers?",It has no real-world consequences,It can lead to judging a defendant's actions as due to bad character rather than fully weighing situational pressures like poverty or desperation,"It only affects defendants, never the legal process",It always leads to lighter sentences,B,"The fundamental attribution error can cause juries or officers to over-attribute offences to bad character, underweighting genuine situational pressures.",advanced
3,4,Attributing Causes to Behaviour,Which of the following is an example of a dispositional attribution for a student missing an assignment deadline?,The student's internet was down,The student is simply lazy and irresponsible,The student's laptop broke,The student had a family emergency,B,"Explaining the missed deadline by reference to the student's character (lazy, irresponsible) is a dispositional attribution.",standard
3,4,Attributing Causes to Behaviour,Which of the following is an example of a situational attribution for the same missed deadline?,The student is dishonest by nature,The student never cares about their studies,The student's laptop broke right before submission,The student is inherently unreliable,C,Explaining the missed deadline by reference to an external circumstance (a broken laptop) is a situational attribution.,standard
3,5,Accuracy of Judgment,"'Elevation', in the study of judgment accuracy, refers to:",the height of the person being judged,overall accuracy — whether a general impression of a person's traits is correct on average,the exact location of an interview,a person's mood at the time of judgment,B,"Elevation refers to overall accuracy of judgment on average, distinct from differential accuracy.",standard
3,5,Accuracy of Judgment,'Differential accuracy' refers to the ability to:,"correctly judge differences between individuals, such as who is more honest or competent",memorise a person's exact date of birth,avoid making any judgments at all,judge only physical characteristics,A,Differential accuracy is the ability to correctly rank or distinguish between individuals on a given trait.,standard
3,5,Accuracy of Judgment,'Confirmation bias' refers to the tendency to:,"notice and remember information confirming an existing belief, while overlooking contradicting evidence",always change our minds when given new evidence,judge all evidence with perfect neutrality,forget all prior impressions instantly,A,Confirmation bias is the tendency to seek out and remember confirming evidence for an existing belief while dismissing disconfirming evidence.,standard
3,5,Accuracy of Judgment,The 'availability heuristic' leads people to judge the likelihood of an event based on:,careful statistical analysis only,"how easily examples of the event come to mind, rather than its actual statistical frequency",the exact date the event occurred,random chance alone,B,"The availability heuristic causes people to judge likelihood based on how easily examples come to mind, which can distort perceptions of how common something like a crime type actually is.",standard
3,5,Accuracy of Judgment,Research on eyewitness identification has found that a witness's confidence in an identification is:,always a perfectly reliable indicator of accuracy,only weakly related to the actual accuracy of that identification,completely unrelated to the actual event,the only evidence courts should ever consider,B,Witness confidence is only weakly related to actual identification accuracy — confident witnesses can still be mistaken.,advanced
3,5,Accuracy of Judgment,Why is the weak link between witness confidence and accuracy particularly important for the justice system?,"Because confident testimony has historically been very persuasive to juries, even when not reliably accurate, contributing to wrongful convictions",Because confidence has no effect on juries at all,Because all witnesses are always right,Because courts never use eyewitness testimony,A,"Confident testimony can strongly persuade juries despite being an unreliable indicator of accuracy, a factor linked to wrongful convictions historically.",advanced
3,5,Accuracy of Judgment,Which of the following is a recommended practical step for improving the accuracy of judgment in policing?,Relying solely on first impressions,"Using structured, evidence-based procedures such as checklists and structured interviews",Avoiding all forms of training,Ignoring disconfirming evidence entirely,B,"Structured, standardised procedures reduce the scope for bias to affect judgment compared to unstructured, intuitive assessment.",standard
3,5,Accuracy of Judgment,Deliberately searching for evidence that would contradict one's initial impression is a technique for countering:,the halo effect only,confirmation bias,the primacy effect only,stereotyping only,B,"Actively seeking disconfirming evidence directly counteracts confirmation bias, which otherwise causes selective attention to confirming evidence.",standard
3,5,Accuracy of Judgment,"Corroborating eyewitness testimony with independent forensic evidence, rather than relying on a single confident witness, is an example of:",ignoring all evidence,"independent corroboration, a recommended step for improving judgment accuracy",the fundamental attribution error,the halo effect,B,"Independent corroboration cross-checks a single source of judgment against separate evidence, improving overall accuracy.",standard
3,5,Accuracy of Judgment,"According to the unit, human judgment of other people is generally:","completely random, no better than chance","better than chance, but still subject to systematic biases",perfectly accurate at all times,impossible to study scientifically,B,"Human judgment is better than pure chance but remains subject to systematic errors like the primacy effect, stereotyping, and confirmation bias.",standard
