module,unit,unit_title,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,tier
4,2,Socialisation,Socialisation is best defined as:,a one-time event that occurs only in early childhood,"the lifelong process by which individuals learn and internalise the values, norms, and behaviours of their society","a purely biological, genetically determined process",a legal requirement for citizenship,B,"Socialisation is a continuous, lifelong process of learning and internalising a society's values, norms, and behaviour patterns.",basic
4,2,Socialisation,Which of the following is NOT listed as a major agent of socialisation?,The family,The mass media,Peer groups,A person's blood type,D,"Blood type is not an agent of socialisation; family, mass media, and peer groups are all listed as key agents.",basic
4,2,Socialisation,The family is generally regarded as the primary agent of socialisation for which of the following reasons?,"It is usually the earliest agent a child is exposed to, and early learning has a particularly lasting influence",Families never influence a child's later behaviour,Schools have no influence on children at all,"The family is the only agent that matters, all others being irrelevant",A,"The family is primary partly because it is the earliest agent of exposure, and early learning tends to have a particularly lasting developmental influence.",standard
4,2,Socialisation,"As children move into adolescence, which agent of socialisation often becomes an increasingly powerful influence, sometimes rivalling the family?",Peer groups,The extended family only,Religious institutions exclusively,No agent increases in influence during adolescence,A,"Peer groups become an increasingly powerful socialising agent during adolescence, sometimes rivalling or even outweighing family influence.",standard
4,2,Socialisation,"According to the unit, the family 'mediates' the child's exposure to other agents of socialisation. This means:",the family has no influence on which school a child attends,"the family often determines which school, religious institution, and other agents a child is exposed to",children are never influenced by their community,socialisation ends once a child starts school,B,"The family often determines access to other socialising agents, such as choice of school or religious institution, shaping the child's wider exposure.",advanced
4,2,Socialisation,"The mass media, including social media, is described in the unit as:",having no relevance to socialisation,"an increasingly influential agent of socialisation, particularly among young people",only relevant to adults over 40,banned from consideration in psychological research,B,"Mass and social media are described as an increasingly influential socialising agent, especially for young people.",standard
4,2,Socialisation,"Which of the following best illustrates unsuccessful or antisocial socialisation, according to the unit?",A child raised in a home where honesty and self-discipline are consistently modelled becoming honest and disciplined,"A child whose home models and reinforces dishonest, exploitative behaviour later exhibiting similar traits",A child attending religious services regularly,A child performing well academically,B,"When antisocial values are modelled and reinforced within the family, this illustrates how socialisation, when unsuccessful or misdirected, can produce antisocial outcomes.",advanced
4,2,Socialisation,"According to the unit, deviant or criminal behaviour is generally best explained by:","a single cause, always poor socialisation alone","the interaction of multiple factors — individual, familial, and environmental — not one cause alone",pure random chance with no identifiable causes,"genetics alone, with no environmental role",B,The unit cautions against the simplistic view that poor socialisation alone causes deviance; multiple interacting factors are involved.,advanced
4,2,Socialisation,"Religious institutions, as an agent of socialisation in Nigerian society, primarily play a role in:",determining a person's genetic makeup,transmitting moral values and codes of conduct,replacing the family entirely,having no measurable social influence,B,Religious institutions play a significant role in transmitting moral values and codes of conduct within Nigerian society.,standard
4,2,Socialisation,Socialisation continues throughout a person's life because:,"individuals move through new roles, such as student, employee, spouse, and parent, each requiring new norms to be learned",socialisation stops completely after age 18,only children need to be socialised,adults never learn new social roles,A,"As individuals move through new life roles, they continue learning the norms attached to each, making socialisation a continuous, lifelong process.",standard
4,3,Juvenile Delinquency,Juvenile delinquency refers to:,any behaviour by an adult that violates the law,"participation, by a person who has not reached the age of legal majority, in behaviour that violates the law or accepted social norms",only behaviour occurring within a school building,a purely medical diagnosis,B,Juvenile delinquency covers law- or norm-violating behaviour by a person under the age of legal majority.,basic
4,3,Juvenile Delinquency,A 'status offence' is best described as:,a serious violent crime,"behaviour considered an offence only because of the offender's age, such as truancy",an offence that would be a crime regardless of the offender's age,a corporate financial crime,B,"Status offences, like truancy or running away from home, are only offences because of the offender's youth, unlike index offences.",standard
4,3,Juvenile Delinquency,An 'index offence' is best described as:,"an offence that would be criminal regardless of the offender's age, such as theft or assault",only a minor school disciplinary matter,a behaviour that is never punishable,exclusively a type of white-collar crime,A,"Index offences, such as theft or assault, would be criminal for a person of any age, unlike status offences.",standard
4,3,Juvenile Delinquency,Which of the following is listed as an individual factor associated with increased risk of juvenile delinquency?,High academic achievement,Low self-control and difficulty delaying gratification,Strong parental supervision,"Consistent, warm discipline at home",B,"Low self-control, along with below-average academic achievement and high impulsivity, are individual factors associated with delinquency risk.",standard
4,3,Juvenile Delinquency,"Inconsistent or overly harsh parental discipline, poor supervision, and family conflict are examples of which category of delinquency risk factor?",Individual factors,Family factors,Community factors only,Purely biological factors,B,"These are family factors, distinct from individual, peer, and community factors that also contribute to delinquency risk.",standard
4,3,Juvenile Delinquency,"According to the unit, which of the following is one of the most consistently identified predictors of delinquent behaviour?",Association with delinquent peers,Musical talent,Left-handedness,High intelligence alone,A,Close association with delinquent peers is one of the most consistently identified predictors of an adolescent's own delinquent involvement.,advanced
4,3,Juvenile Delinquency,Community factors such as poverty and weak community cohesion are linked to higher delinquency rates primarily because:,poverty directly causes criminal genes to activate,such conditions can weaken the informal social controls that otherwise discourage delinquent behaviour,poor communities have no schools at all,wealthy communities never experience any crime,B,"Poverty and weak cohesion are linked to delinquency not through any direct causal mechanism, but by weakening informal social controls within a community.",advanced
4,3,Juvenile Delinquency,"Parent training programmes that teach consistent, effective discipline and supervision strategies are an example of which type of delinquency intervention?",Community-based intervention,Family-based intervention,Diversion programme,Judicial intervention only,B,Parent training programmes targeting discipline and supervision skills are a family-based intervention approach.,standard
4,3,Juvenile Delinquency,"'Diversion programmes' and 'restorative justice approaches', as discussed in the unit, aim to:",route all young offenders through the harshest possible formal punishment,hold young offenders accountable while addressing underlying causes and avoiding the damaging effects of formal criminal labelling,abolish all consequences for juvenile offences,apply exclusively to adult offenders,B,"Diversion and restorative approaches aim to hold offenders accountable while addressing root causes, avoiding the potential harm of formal criminal labelling.",advanced
4,3,Juvenile Delinquency,"According to contemporary psychological and criminological thinking, as discussed in the unit, which approach is generally favoured?",Purely punitive responses after an offence has occurred,Early intervention addressing risk factors before delinquent patterns become entrenched,Ignoring all early warning signs,Waiting until adulthood to address any behavioural concerns,B,"Contemporary thinking favours early intervention on risk factors, rather than relying solely on punitive responses after delinquent patterns are already established.",advanced
4,4,Behaviour Modification,Behaviour modification refers to:,"the systematic application of learning principles to change, increase, or decrease specific observable behaviours",a technique used only in wildlife research,a purely philosophical concept with no practical application,a term synonymous with punishment only,A,"Behaviour modification systematically applies learning principles, particularly from behaviourism, to change observable behaviours.",basic
4,4,Behaviour Modification,'Positive reinforcement' involves:,the removal of an unpleasant consequence to increase behaviour,"the presentation of a pleasant consequence following a behaviour, increasing the likelihood it will recur",the presentation of an unpleasant consequence to decrease behaviour,ignoring a behaviour entirely,B,"Positive reinforcement adds a pleasant consequence after a behaviour, increasing the likelihood the behaviour will be repeated.",basic
4,4,Behaviour Modification,'Negative reinforcement' involves:,"the removal of an unpleasant consequence following a behaviour, which increases the likelihood the behaviour recurs",punishing a behaviour to decrease it,the same thing as positive punishment,never occurs in real behaviour modification,A,"Negative reinforcement still strengthens behaviour, but by removing something unpleasant, rather than by adding something pleasant.",standard
4,4,Behaviour Modification,Which of the following is an example of negative reinforcement?,Praising a recruit for following correct procedure,"A loud, irritating car alarm stopping once a seatbelt is fastened, increasing the likelihood of fastening seatbelts",Reprimanding an officer for poor conduct,Removing a privilege after misbehaviour,B,"The seatbelt alarm stopping is negative reinforcement: an unpleasant stimulus (the noise) is removed, increasing the likelihood of the seatbelt-fastening behaviour.",advanced
4,4,Behaviour Modification,'Positive punishment' involves:,the presentation of an unpleasant consequence following an undesired behaviour,the removal of a pleasant consequence following an undesired behaviour,adding a pleasant reward for good behaviour,doing nothing in response to behaviour,A,"Positive punishment adds an unpleasant consequence, such as a reprimand, to decrease an undesired behaviour.",standard
4,4,Behaviour Modification,"Which of the following is a limitation of punishment, according to the unit?",Punishment always produces permanent behaviour change with no side effects,"Punishment tends to suppress behaviour only in the presence of the punishing agent, and may produce fear or resentment",Punishment never has any psychological effect at all,Punishment is always more effective than reinforcement,B,"Punishment often only suppresses behaviour when the punisher is present, and can produce unwanted side effects like fear and resentment, without teaching the correct alternative behaviour.",advanced
4,4,Behaviour Modification,'Shaping' refers to:,punishing every incorrect attempt at a complex behaviour,the reinforcement of successive approximations to a desired target behaviour,ignoring all behaviour until it is perfect,"a technique used only with animals, never humans",B,"Shaping gradually reinforces closer and closer approximations to a complex target behaviour, such as a full firearms drill.",standard
4,4,Behaviour Modification,"'Extinction', in behaviour modification, refers to:",the sudden disappearance of an entire species,the gradual weakening of a behaviour that is no longer reinforced,a form of severe punishment,a technique that only works instantly,B,Extinction is the gradual weakening and disappearance of a behaviour once its previous reinforcement (such as attention) is withdrawn.,standard
4,4,Behaviour Modification,A 'token economy' system involves:,punishing all undesired behaviour with fines,reinforcing desired behaviours with tokens or points that can later be exchanged for privileges or items,completely ignoring all behaviour,a purely theoretical concept never used in practice,B,"Token economies reinforce desired behaviour with symbolic tokens exchangeable for tangible rewards, used successfully in schools and correctional settings.",advanced
4,4,Behaviour Modification,"'Modelling', as described by Bandura's social learning theory, refers to learning a new behaviour by:",direct punishment only,"observing and imitating another person, particularly when that person is seen to be reinforced for the behaviour",random trial and error only,reading about the behaviour in a textbook only,B,"Modelling involves learning through observation and imitation, especially when the observed model is seen to be rewarded, as in Bandura's social learning theory.",advanced
4,5,Human Aggression,Aggression may be defined as:,any behaviour that causes accidental harm,behaviour intended to cause harm to another person who is motivated to avoid that harm,a synonym for assertiveness,a purely biological reflex with no psychological component,B,"Aggression requires intent to harm, distinguishing it from accidental harm and from assertiveness, which involves no intent to harm.",basic
4,5,Human Aggression,'Hostile aggression' is best described as:,"aggression driven primarily by anger, aiming to harm the target for its own sake",aggression used only as a means to obtain some other goal,a form of assertiveness,aggression that never actually causes harm,A,"Hostile aggression is driven by anger and aims at harming the target as an end in itself, unlike instrumental aggression.",standard
4,5,Human Aggression,'Instrumental aggression' is best illustrated by:,a person lashing out in anger with no other goal,"a robber using violence as a means of obtaining property, not as the primary goal itself",a person expressing their opinion assertively,an accidental collision between two vehicles,B,"Instrumental aggression uses harm as a means to another end, such as a robber using violence to obtain property rather than to harm for its own sake.",standard
4,5,Human Aggression,"Which biological factor has been associated with increased aggressive tendencies, particularly in males, according to research discussed in the unit?",Low blood sugar only,Elevated testosterone levels,Excess vitamin C,Blood type,B,"Elevated testosterone has been associated with increased aggressive tendencies, though the relationship is complex and influenced by social experience too.",standard
4,5,Human Aggression,"The frustration-aggression hypothesis, proposed by Dollard and colleagues (1939), holds that aggression is typically the result of:",random genetic mutation,"frustration, the blocking of a goal-directed activity",excessive sleep,a purely learned behaviour with no emotional component,B,The frustration-aggression hypothesis holds that aggression typically results from frustration caused by the blocking of a goal-directed activity.,standard
4,5,Human Aggression,"In the frustration-aggression hypothesis, 'displacement' refers to:","aggression being directed at a safer, substitute target rather than the actual source of frustration",the complete elimination of aggressive feelings,aggression always being directed at the original source of frustration,physically relocating to a new environment,A,Displacement describes aggression being redirected toward a safer substitute target when the original source of frustration cannot safely be confronted.,advanced
4,5,Human Aggression,Bandura's 'Bobo doll' studies demonstrated that children who observed an adult behaving aggressively toward a toy were:,significantly less likely to imitate aggressive behaviour,significantly more likely to imitate that aggressive behaviour themselves,completely unaffected by what they observed,only affected if they were physically punished first,B,"Bandura's studies showed children who observed aggressive modelling were significantly more likely to imitate that aggression themselves, supporting social learning theory.",standard
4,5,Human Aggression,The 'weapons effect' refers to the finding that:,"the mere presence of a weapon can increase the likelihood of aggressive behaviour, beyond its direct instrumental use",weapons have no psychological effect on behaviour,"only actual weapon use, never mere presence, affects aggression",weapons always reduce aggressive tendencies,A,"The weapons effect shows that simply having a weapon present, even without using it, can increase aggressive behaviour.",advanced
4,5,Human Aggression,"'Deindividuation', as a situational factor in aggression, refers to:",increased individual accountability in a crowd,"the loss of individual identity and personal accountability within a large, anonymous crowd, associated with increased aggression",a decrease in crowd size,a purely positive psychological state,B,"Deindividuation describes the loss of personal identity and accountability in an anonymous crowd, linked to increased aggression in mob or riot situations.",advanced
4,5,Human Aggression,"Which of the following is a recommended strategy for managing and reducing aggression, according to the unit?",Increasing exposure to violent role models,Teaching alternative responses such as anger management and assertiveness training,Ignoring all situational triggers,Removing all forms of behaviour modification,B,"Teaching non-aggressive alternative responses, such as anger management and assertiveness training, is a recommended strategy for reducing aggression.",standard
