"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","module"
"In the source's comparison, membership of the state and membership of the government differ in which way?","Both are compulsory for all adults","Membership of the state is optional, while membership of the government is compulsory","Both are determined by the constitution alone","Membership of the state is compulsory, while membership of the government is optional","D","The source's table records that membership of the state is compulsory and includes everyone, whereas membership of the government is optional and covers only the few who are employed or elected.","2"
"In The Wealth of Nations (1776), Adam Smith laid down which three duties that the sovereign must attend to?","Collecting taxes, regulating trade and printing currency","Protecting society from violence and invasion; establishing an exact administration of justice; erecting and maintaining certain public works and institutions","Waging war, making treaties and appointing ambassadors","Educating the young, feeding the poor and housing the homeless","B","The source lists Adam Smith's three duties of the sovereign as protecting the society from violence and invasion by other independent societies, establishing an exact administration of justice, and erecting and maintaining certain public works and public institutions for the society.","2"
"Writing on the purpose of the state, Harold Laski described it as an organization that does which of the following?","Enables the mass of men to realize social good on the largest possible scale","Monopolises the instruments of coercion for the ruling class","Preserves the divine order on earth","Maximises the wealth of the nation above all other aims","A","The source records Laski's view that the state is an organization that enables the mass of men to realize social good on the largest possible scale.","2"
"The source describes the concept of a nation as which of the following?","Political rather than sociological","Purely economic in character","Sociological rather than political","Identical in meaning with the state","C","The source states plainly that the concept of a nation is not political but sociological, and that a nation can exist even though it is not contained within a particular state or served by a given government.","2"
"Which example does the source give of a nation that maintained a national identity for thousands of years without a state of its own?","The Germans, until unification in 1871","The Yoruba, until Nigerian independence in 1960","The Swiss, until the founding of the confederation","The Jews, until the creation of the state of Israel in 1948","D","The source states that for thousands of years, until the creation of the state of Israel in 1948, the Jews maintained a national identity without a state of their own.","2"
"Between 1797 and 1919, what happened to Poland according to the source?","Both the Polish state and the Polish nation ceased to exist","The Polish nation ceased to exist but the Polish state survived","Poland was absorbed into a confederation with Germany","The Polish state ceased to exist as a political entity, but the Polish nation survived","D","The source states that between 1797 and 1919 the Polish state ceased to exist as a political entity, but the Polish nation survived -- an illustration that a nation can outlive its state.","2"
"Which of the following bodies recognises and represents states rather than nations, according to the source?","The United Nations, African Union, International Monetary Fund and Arab League","Only the African Union","Only the United Nations","None of these bodies deals with states","A","The source states that only states, not nations, are recognized and represented at international fora such as the United Nations, African Union, International Monetary Fund and Arab League.","2"
"The source uses Switzerland, Belgium and the United States to make which point about nation-states?","That a common language, religion and ethnic origin help but are not mandatory for a successful nation-state","That a common language, religion and ethnic heritage are strict pre-conditions for a nation-state","That only federal states can become nation-states","That nation-states must be founded through revolution","A","The source argues the claim that common language, religion and ethnic heritage are pre-conditions is not strictly valid, citing Switzerland with four official languages, Belgium with two, and the ethnically diverse United States as a model nation-state -- such factors help but are not mandatory.","2"
"Which French writer is credited in the source with introducing the theory of sovereignty into the study of political science?","Jean Bodin (1530-96)","Montesquieu (1689-1755)","J. J. Rousseau","Antoine Destutt de Tracy","A","The source states that the French writer Jean Bodin (1530-96) introduced the theory of sovereignty into the study of political science, postulating that if the state is to live there must be in every organized community some definite authority not only itself obeyed but also beyond the reach of authority.","2"
"Derived from an old French philosophical concept, sovereignty simply means which of the following?","To rule over","To serve the people","To divide power","To bind by law","A","The source states that as derived from an old French philosophical concept, sovereignty simply means 'to rule over'.","2"
"Which of the following is listed in the source as a characteristic of sovereignty?","Divisibility, so that its powers may be shared among several bodies","Temporariness, since it expires with each government","Inalienability, meaning its powers cannot be given away or transferred","Dependence on the approval of foreign powers","C","The source lists the characteristics of sovereignty as absoluteness, permanence, indivisibility, comprehensiveness, inalienability (its powers cannot be given away or transferred), and absence of foreign control.","2"
"Who is described in the source as the foremost exponent of legal sovereignty?","Hugo Grotius","John Austin","Harold Laski","John Chipman Gray","B","The source names John Austin as the foremost exponent of legal sovereignty, for whom the state is a legal order in which the sovereign is determinate and exercises ultimate power.","2"
"The source concludes that, properly understood, legal sovereignty means which of the following?","The unlimited supremacy of the legislature","The supremacy of the constitution","The personal supremacy of the head of state","The supremacy of international law","B","The source argues that although the legislature may amend the constitution, it can do so only in accordance with that same constitution, which makes legislative sovereignty limited -- so that in this sense legal sovereignty means the supremacy of the constitution.","2"
"According to the source, what was John Locke's position on sovereignty?","He held that sovereignty is absolute and located in the ruler","He held that sovereignty could be exercised only in an assembly of the whole people","He did not use the term at all; in so far as there was a supreme power in his state, it lay with the people but was normally latent","He argued that sovereignty resides permanently in the legislature","C","The source states that Locke did not use the term sovereignty at all, and that in so far as there was a supreme power in his state it lay with the people, but was normally latent.","2"
"Rousseau maintained that sovereignty belonged to the people and could be exercised only in which manner?","In an assembly of the whole people, government being merely the executive agent of the general will","Through elected representatives in parliament","Through the courts interpreting the constitution","Through the executive acting on the people's behalf","A","The source records Rousseau's view that sovereignty belonged to the people and could be exercised only in an assembly of the whole people, government being but the executive agent of the general will with no manner of sovereignty of its own.","2"
"Who is credited in the source with emphasising external sovereignty, that is, the independence of states from foreign control?","John Austin","Hugo Grotius","Jeremy Bentham","Sir Henry Maine","B","The source states that the importance of Hugo Grotius in the development of the theory of sovereignty is that he emphasised external sovereignty, that is, the independence of states from foreign control.","2"
"The idea of the sovereign state in diplomatic history is traced in the source to which event?","The 1815 Congress of Vienna","The signing of the Treaty of Westphalia in 1648, after the Thirty Years War","The 1919 Versailles Peace Treaty","The San Francisco Conference of 1945","B","The source states that the idea of the sovereign state in diplomatic history had its roots in the signing of the Treaty of Westphalia in 1648, when after the Thirty Years War the sovereign state emerged to vindicate the supremacy of the secular order against religious claims.","2"
"Sir Henry Maine criticised the theory of sovereignty on which ground?","That it gives too much power to international organisations","That it makes federalism impossible to operate","That it wrongly assumes the people are sovereign","That it is inapplicable to undeveloped communities, among whom custom is the king of men","D","The source gives as the first criticism Sir Henry Maine's view that sovereignty is not applicable to undeveloped communities, among whom custom is the king of men.","2"
"The pluralist criticism of sovereignty rests on which argument?","That sovereignty should be vested in the monarch alone","That other non-political associations such as trade unions grow naturally, have a will of their own, and possess a personality distinct from that of the state","That sovereignty is best located in international law","That sovereignty cannot exist in a democracy","B","The source states that sovereignty wrongly assumes the state is the only association, whereas pluralists recognise other non-political associations like trade unions that grow naturally, have a will of their own, and possess personality distinct from that of the state.","2"
"Harold Laski's warning that 'men will sooner part with their souls than with their possessions' is used in the source to illustrate which limitation on sovereignty?","That the sovereign cannot declare war without popular approval","That the sovereign cannot tax private property without the consent of the owner","That the sovereign cannot amend the constitution","That the sovereign cannot join international organisations","B","The source uses Laski's warning to support the point that to say there is no law beyond the reach of the sovereign strains the definition, since the sovereign cannot tax private property without the consent of the owner.","2"
"Which of the following is listed in the source as a limitation on the exercise of sovereignty?","The size of the national population","Membership of international organisations","The age of the constitution","The number of political parties in existence","B","The source's summary lists limitations on sovereignty including membership of international organisations, interference by dominant powers, external aid, the constitution, pressure groups, customs and traditions, international law, the electorate, public opinion and military interregnum.","2"
"The American Declaration of Independence of 1776 proclaimed which rights?","Life, liberty and property","Equality, fraternity and liberty","Life, liberty and the pursuit of happiness","Life, dignity and fair hearing","C","The source traces the origins of human rights to the American Declaration of Independence of 1776, which proclaimed the right to life, liberty and pursuit of happiness.","2"
"Which of the following is NOT listed in the source among the historical origins of human rights?","The Treaty of Westphalia of 1648","The French Declaration of the Rights of Man in 1789","The European Convention of Human Rights","The 1948 Universal Declaration of Rights","A","The source traces the origins of human rights to the American Declaration of Independence (1776), the French Declaration of the Rights of Man (1789), the European Convention of Human Rights and the 1948 Universal Declaration of Rights. The Treaty of Westphalia is discussed in relation to sovereignty, not human rights.","2"
"Who is described in the source as perhaps the most influential exponent of fundamental human rights?","Thomas Hobbes","Harold Laski","A. V. Dicey","John Locke","D","The source describes the English political philosopher John Locke as perhaps the most influential exponent of fundamental human rights, holding that obedience to government is for one reason only -- to secure the personal rights to life, liberty and property that naturally belong to all men equally.","2"
"Which chapter of the 1999 Constitution of the Federal Republic of Nigeria guarantees Fundamental Human Rights?","Chapter I","Chapter II","Chapter III","Chapter IV","D","The source states that Chapter IV of the Constitution of the Federal Republic of Nigeria, 1999 guarantees citizens' Fundamental Human Rights, in sections 33 to 43.","2"
"Under the 1999 Constitution of Nigeria, Section 33 provides for which right?","Right to personal liberty","Right to life","Right to fair hearing","Right to freedom of movement","B","The source lists Section 33 of the 1999 Constitution as providing the right to life, with Section 34 covering dignity of the human person, Section 35 personal liberty and Section 36 fair hearing.","2"
"Under the 1999 Constitution of Nigeria, which section provides for the right to freedom of expression and the press?","Section 36","Section 38","Section 39","Section 41","C","The source lists Section 39 of the 1999 Constitution as providing the right to freedom of expression and the press, with Section 38 covering freedom of thought, conscience and religion and Section 41 freedom of movement.","2"
"Since which Nigerian constitution has there been a chapter devoted exclusively to Fundamental Human Rights?","The 1999 Constitution","The 1979 Constitution","The 1951 Macpherson Constitution","The 1963 Republican Constitution","D","The source states that in the Nigerian constitutions since the 1963 Republican Constitution, there has been a chapter devoted exclusively to the provisions on Fundamental Human Rights.","2"
"In the American constitution, which amendment secures the citizen against having his house searched except upon a warrant?","The Fourth Amendment","The First Amendment","The Eighth Amendment","The Tenth Amendment","A","The source states that the First Amendment secures freedom of speech and peaceful assembly, the Fourth secures the citizen that his house shall not be searched except upon a warrant, and the Eighth secures citizens against excessive bail.","2"
"How does the source describe the position of rights under the unwritten British Constitution?","There is a single codified bill of rights binding on Parliament","Rights exist only where granted by the monarch","Rights are guaranteed exclusively by the European Convention","There has been no general proclamation of rights; each important right was achieved through a particular struggle in history, and its maintenance depends on the working of the law","D","The source states that in the unwritten British Constitution there has been no general proclamation of rights, but each of a series of important rights has been achieved because of a particular struggle in history, and its maintenance today depends on the working of the law.","2"
"How is liberty defined in the source?","Freedom to do one's will without any restraint","The absence of all government regulation","The right of the rich to dispose of their property freely","The maintenance of equal opportunities for all citizens -- a positive thing, not merely the absence of restraint","D","The source rejects the negative conception of liberty as mere absence of restraint, which it says the rich prefer, and defines liberty positively as the maintenance of equal opportunities for all citizens.","2"
"According to the source, freedom of speech is limited principally by which of the following?","The law of libel or slander","The discretion of the head of state","The rules of political parties","The judgment of the electorate","A","The source states that freedom of speech is only limited by the law of libel, or slander, as a constraint on the freedom of the press, adding that opinion may be penalised if it is held to involve disorder.","2"
"Aristotle defined citizenship as which of the following?","Membership of a state acquired only by birth","The privilege of owning property within the state","The right to rule and be ruled","Loyalty to the national flag and anthem","C","The source records Aristotle's definition of citizenship as the right to rule and be ruled.","2"
"Which of the following is listed in the source as a way of acquiring citizenship?","Purchase from the state treasury","Appointment by the legislature","Election by popular vote","Naturalization","D","The source lists ways of acquiring citizenship as by birth, place of birth, blood or descent, marriage, registration, naturalization, or conquest -- with Chapter III of the 1999 Constitution stipulating the ways for Nigeria.","2"
"Which of the following is listed in the source among the duties that citizens owe to the state?","Membership of a registered political party","Ownership of landed property","Payment of tax as and when due","Attendance at religious worship","C","The source lists the duties citizens owe the state as obedience and unalloyed loyalty to the state including respect for the national flag and anthem, payment of tax as and when due, obedience to traffic laws and highway codes, serving in the military if required during an emergency, and non-interference with other citizens' rights.","2"
"Harold Laski's statement that 'there must be sufficiency for all before there is superfluity for some' is used in the source to support which point?","That taxation should be abolished for the poor","That private property should be abolished entirely","That a citizen deprived of the means of existence cannot perform his basic civic obligations, since rights are corollaries to duties","That the state should own all industries","C","The source uses Laski's statement in explaining that rights are corollaries to duties: to leave a citizen without access to the means of existence is to deprive him of what makes him able to perform his basic civic obligations.","2"
"The source captures the centrality of power in politics with which comparison?","Power is to politics what history is to memory","Power is to politics what law is to justice","Power is to politics what energy is to physics","Power is to politics what wealth is to economics","C","The source states that it is often said that power is to politics what energy is to physics.","2"
"Max Weber defined power as which of the following?","The ability to intrude into other people's decision-making process","The probability that one actor within a social relationship will be in a position to carry out his own will despite resistance","The right to issue commands and have them obeyed willingly","The authoritative allocation of values for a society","B","The source quotes Max Weber's definition of power as the probability that one actor within a social relationship will be in a position to carry out his own will despite resistance.","2"
"According to the source, what actually provokes obedience to political power?","The coercion itself","The fear of the coercive penalties, rather than the coercion itself","The moral goodness of the ruler","The wealth of the state","B","The source states that it is the fear of these coercive penalties that provokes the obedience, not the coercion itself, adding that too frequent use of such penalties may indicate the weakening of that political power.","2"
"Which of the following is identified in the source as an attribute of power?","Power is static and unchanging over time","Power is best measured in absolute rather than relative terms","Power is purely tangible and always precisely measurable","Power is dynamic, changing from time to time and never static","D","The source lists three attributes of power: that it is dynamic (changing from time to time and never static), that it has objective and subjective dimensions, and that it is relative rather than absolute.","2"
"Which of the following is listed in the source as a TANGIBLE element of national power?","Strategic location","Culture","Ideology","The attraction of ideas","A","The source lists the tangible elements of national power as military capabilities, economic strength, natural resources, population and strategic location; culture, the attraction of ideas, ideology and institutions are listed as intangible or soft power elements.","2"
"The source uses the example of surrendering property to an armed robber to illustrate which point?","That an acknowledgement of power does not necessarily confer authority or legitimacy on that power","That the state alone may use coercive power","That influence can acquire the intensity of power","That charismatic authority rests on personal qualities","A","The source uses the armed robber example to show that although authority may be described as the consequence of the acknowledgement of power, accepting another's power as a fait accompli does not necessarily confer authority or legitimacy on that force.","2"
"Max Weber identified which three sources of authority?","Coercive, economic and ideological","Monarchical, aristocratic and democratic","Traditional, legal-rational and charismatic","Manifest, implicit and inducement-based","C","The source states that Max Weber identified three major sources of authority -- traditional, legal-rational and charismatic -- noting that these are not three different kinds of authority but different sources of it.","2"
"Legal-rational authority is legitimated by which of the following?","Long-standing customs, usages and common antecedents","The exceptional personal qualities of an individual leader","Inheritance of the status of one's parent","The supremacy of the law and institutionalised rules such as constitutions","D","The source states that legal-rational authority is legitimated by the supremacy of the law, its exercise being accepted as legitimate because it derives from institutionalised rules such as constitutions, which confer and circumscribe the right to give commands.","2"
"Which of the following is given in the source as an example of a quality from which charismatic authority derives?","Power of oratory","Inheritance of a chieftaincy title","Appointment under a written constitution","Seniority within a civil service","A","The source states that charismatic authority derives from persons of exceptional qualities such as heroism, power of oratory, intelligence, and power of healing or prophecy, citing leaders such as Gandhi, John Kennedy, Obafemi Awolowo, Ahmadu Bello and Murtala Muhammed.","2"
"The concept of legitimacy is derived from which Latin word, and with what meaning?","'Legitimus', meaning lawful or according to law","'Legatus', meaning one who is sent","'Lex', meaning command","'Ligare', meaning to bind together","A","The source states that legitimacy has its foundation in the Latin word 'legitimus', meaning lawful or according to law.","2"
"In its NORMATIVE sense, legitimacy is concerned with which question?","How citizens perceive the way a state or government came to exist as a legal entity","Whether a state or government deserves to be obeyed by its subjects or citizens","How many votes a government received at the last election","Whether a government is recognised by foreign states","B","The source distinguishes the two senses: empirically, legitimacy concerns citizens' perception of how a state or government comes to exist as a legal entity; in normative terms, it concerns whether a state or government deserves to be obeyed by the subjects or citizens.","2"
"Influence is defined in the source as which of the following?","The ability to get others to comply through the threat of sanctions","The right to issue binding commands under law","The monopoly of the legitimate use of force","The ability to intrude into other people's decision-making process","D","The source defines influence as the ability to intrude into other people's decision-making process, involving largely the capacity to make one's presence felt in other people's minds, and notes that influence can be exercised without power.","2"
"Following Dahl, manifest influence is said to exist where which of the following occurs?","B is able to anticipate A's wants, so that as a result of A's action B attempts to bring about the outcome A desires","A compels B by force to act against B's will","A and B have equal power over each other","B acts entirely independently of A's wishes","A","The source explains, following Dahl, that manifest influence exists where B is able to anticipate A's wants -- if A wants outcome X and as a result of A's action B attempts to bring about X, then A exercises manifest influence.","2"
"What distinguishes rational persuasion from manipulative persuasion in the source?","Rational persuasion uses rewards, while manipulative persuasion uses threats","Rational persuasion applies only to states, manipulative persuasion only to individuals","Rational persuasion is always successful, while manipulative persuasion always fails","Rational persuasion is borne out of truthful information and rational communication, while manipulative persuasion is achieved through half-truths and falsehood","D","The source states that rational persuasion is influence borne out of truthful information and rational communications appealing to B's conscience, whereas manipulative persuasion is achieved through half-truths and falsehood presented to B by A.","2"
"Which of the following is one of the four factors on which the rule of law is anchored, according to the source?","No one can be punished by the state except for a breach of the law","The head of state may be exempted from prosecution while in office","The courts may convict on grounds of public interest alone","Only citizens, not foreigners, are equal before the law","A","The source anchors the rule of law on four factors: no one is above the law; no one can be punished by the state except for a breach of the law; no one can be convicted of breaching the law except in the manner set forth by the law itself; and everyone is equal before the law.","2"
"The term 'ideology' is traced in the source to which philosopher and period?","Karl Marx, during the Industrial Revolution","Jean Bodin, during the sixteenth century","Antoine Destutt de Tracy, during the French Revolution of 1789","Max Weber, during the early twentieth century","C","The source states that ideology derives from the French phrase 'les ideologues', propounded by the French philosopher Antoine Destutt de Tracy during the French Revolution of 1789, denoting the science of ideas that are progressive and rational.","2"
"Lewis Coser (1956) defined conflict as which of the following?","The authoritative allocation of values within a political system","A struggle over values and claims to scarce status, power and resources in which the aims of the opponents are to neutralise, injure or eliminate their rivals","Any disagreement that is expressed violently between two states","The natural condition of men before the social contract","B","The source cites Lewis Coser's definition of conflict as a struggle over values and claims to scarce status, power and resources in which the aims of the opponents are to neutralise, injure, or eliminate their rivals.","2"
